NAMESPACE         NAME                                                      READY   STATUS    RESTARTS        AGE     IP                NODE        NOMINATED NODE   READINESS GATES
observability     jaeger-fcb8c7d9b-ntnj9                                    1/1     Running   0               169m    192.168.117.253   core-node   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-vvbn5      1/1     Running   0               171m    192.168.1.10      core-node   <none>           <none>
observability     loki-0                                                    2/2     Running   1 (13m ago)     28m     192.168.117.190   core-node   <none>           <none>
observability     loki-canary-4m87c                                         1/1     Running   0               162m    192.168.117.233   core-node   <none>           <none>
observability     loki-results-cache-0                                      2/2     Running   0               171m    192.168.117.224   core-node   <none>           <none>
observability     otel-collector-opentelemetry-collector-69d79964d8-kxpqc   1/1     Running   0               168m    192.168.117.236   core-node   <none>           <none>
observability     prometheus-kube-prometheus-stack-prometheus-0             2/2     Running   0               28m     192.168.117.150   core-node   <none>           <none>
observability     promtail-qfhg5                                            0/1     Running   0               171m    192.168.117.223   core-node   <none>           <none>
persistence       persistence-writer-7d84d6f984-l94qf                       1/1     Running   0               3m26s   192.168.117.161   core-node   <none>           <none>
platform          kong-kong-864d564d68-57xkd                                2/2     Running   30 (30m ago)    168m    192.168.117.248   core-node   <none>           <none>
storage           pgbouncer-585f9f6957-kqlds                                1/1     Running   0               168m    192.168.117.198   core-node   <none>           <none>
storage           postgres-0                                                1/1     Running   0               28m     192.168.117.137   core-node   <none>           <none>
storage           redis-0                                                   1/1     Running   0               28m     192.168.117.159   core-node   <none>           <none>
storage           timescaledb-0                                             1/1     Running   0               28m     192.168.117.173   core-node   <none>           <none>
vault             vault-0                                                   0/1     Running   0               28m     192.168.117.158   core-node   <none>           <none>
vault             vault-agent-injector-8d6b668b4-xg2hk                      1/1     Running   25 (32m ago)    168m    192.168.117.232   core-node   <none>           <none>
