NAMESPACE         NAME                                                      READY   STATUS    RESTARTS         AGE     IP                NODE        NOMINATED NODE   READINESS GATES
longhorn-system   engine-image-ei-c9fa6d45-nwsc5                            1/1     Running   0                9h      192.168.117.202   core-node   <none>           <none>
longhorn-system   instance-manager-b5f2e48e13220065ab8d016faafc3eb7         1/1     Running   0                7h9m    192.168.117.183   core-node   <none>           <none>
longhorn-system   longhorn-csi-plugin-gfhnr                                 3/3     Running   17 (7h10m ago)   7h26m   192.168.117.169   core-node   <none>           <none>
longhorn-system   longhorn-driver-deployer-f77846648-vklk7                  1/1     Running   0                7h24m   192.168.117.143   core-node   <none>           <none>
longhorn-system   longhorn-manager-png9q                                    2/2     Running   0                7h22m   192.168.117.160   core-node   <none>           <none>
longhorn-system   longhorn-ui-765655d4f8-p4qj5                              1/1     Running   23 (7h10m ago)   9h      192.168.117.217   core-node   <none>           <none>
longhorn-system   longhorn-ui-765655d4f8-xqpjv                              1/1     Running   23 (7h10m ago)   9h      192.168.117.218   core-node   <none>           <none>
observability     alertmanager-kube-prometheus-stack-alertmanager-0         2/2     Running   0                7h8m    192.168.117.139   core-node   <none>           <none>
observability     jaeger-fcb8c7d9b-ntnj9                                    1/1     Running   0                9h      192.168.117.253   core-node   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-vvbn5      1/1     Running   0                9h      192.168.1.10      core-node   <none>           <none>
observability     loki-0                                                    2/2     Running   9 (11m ago)      7h8m    192.168.117.190   core-node   <none>           <none>
observability     loki-canary-4m87c                                         1/1     Running   0                9h      192.168.117.233   core-node   <none>           <none>
observability     loki-results-cache-0                                      2/2     Running   0                9h      192.168.117.224   core-node   <none>           <none>
observability     otel-collector-opentelemetry-collector-69d79964d8-kxpqc   1/1     Running   0                9h      192.168.117.236   core-node   <none>           <none>
observability     prometheus-kube-prometheus-stack-prometheus-0             2/2     Running   0                7h8m    192.168.117.150   core-node   <none>           <none>
observability     promtail-qfhg5                                            0/1     Running   0                9h      192.168.117.223   core-node   <none>           <none>
persistence       persistence-writer-7d84d6f984-l94qf                       1/1     Running   0                6h42m   192.168.117.161   core-node   <none>           <none>
platform          kong-kong-864d564d68-57xkd                                2/2     Running   30 (7h10m ago)   9h      192.168.117.248   core-node   <none>           <none>
storage           pgbouncer-585f9f6957-kqlds                                1/1     Running   0                9h      192.168.117.198   core-node   <none>           <none>
storage           postgres-0                                                1/1     Running   0                7h8m    192.168.117.137   core-node   <none>           <none>
storage           redis-0                                                   1/1     Running   0                7h8m    192.168.117.159   core-node   <none>           <none>
storage           timescaledb-0                                             1/1     Running   0                7h8m    192.168.117.173   core-node   <none>           <none>
vault             vault-0                                                   0/1     Running   0                7h8m    192.168.117.158   core-node   <none>           <none>
vault             vault-agent-injector-8d6b668b4-xg2hk                      1/1     Running   25 (7h11m ago)   9h      192.168.117.232   core-node   <none>           <none>
