NAME              STATUS   AGE
database          Active   2d7h
default           Active   3d15h
execution         Active   30h
kafka             Active   3d1h
kube-node-lease   Active   3d15h
kube-public       Active   3d15h
kube-system       Active   3d15h
longhorn-system   Active   3d15h
market-data       Active   3d1h
monitoring        Active   2d8h
n8n               Active   23h
platform          Active   3d9h
research          Active   2d6h
trading-infra     Active   30h
